#Time(s) Amplitude(cm) Error-Amplitude(cm)
0.0000 5.5000 0.9322
0.2500 3.5781 0.3983
0.5000 0.0000 0.2844
0.7500 -3.0288 0.2348
1.0000 -3.9409 0.6686
1.2500 -2.5639 0.3601
1.5000 0.0000 0.2369
1.7500 2.1702 0.0262
2.0000 2.8238 0.3629
2.2500 1.8371 0.5087
2.5000 0.0000 0.4358
2.7500 -1.5550 0.3669
3.0000 -2.0233 0.2310
3.2500 -1.3163 0.3458
3.5000 0.0000 0.2075
3.7500 1.1142 0.2695
4.0000 1.4498 0.0653
4.2500 0.9432 0.0927
4.5000 0.0000 0.0888
4.7500 -0.7984 0.0975
5.0000 -1.0388 0.1573
5.2500 -0.6758 0.0735
5.5000 0.0000 0.1147
5.7500 0.5721 0.0316
6.0000 0.7443 0.0349
6.2500 0.4843 0.0511
6.5000 0.0000 0.0717
6.7500 -0.4099 0.0164
7.0000 -0.5333 0.0376
